positive,negative,remove,keyword,keywordGroup,keywordSet
3d printing,,,3d printing,Technology,Tech for good
3d scanning,,,3d printing,Technology,Tech for good
accelerator,,,,Training,Tech for good
access to knowledge,,,,advice & support,Tech for good
analysis,,,,Data,Tech for good
app,,,application,Technology,Tech for good
archive,,1,,,Tech for good
artificial intelligence,,,,Technology,Tech for good
audio,,1,,Technology,Tech for good
audiovisual,,,,Technology,Tech for good
bionic,,,,Technology,Tech for good
blockchain,,,,Emerging Technology,Tech for good
bot,,,chatbot,Emerging Technology,Tech for good
camera,,,,Technology,Tech for good
cell phone,,,,Technology,Tech for good
chatbot,,,chatbot,Emerging Technology,Tech for good
circular economy,,,,,Tech for good
civic technology,,,,Field,Tech for good
co-op,,,co-operative,Organisation Structure,Tech for good
computers,"education, history, club",,,digital inclusion,Tech for good
conservation technology,,,,Field,Tech for good
data,,,,Data,Tech for good
data analysis,,,,Data,Tech for good
data mining,,,data analysis,Data,Tech for good
data science,,,data analysis,Data,Tech for good
data visualisation,,,data analysis,Data,Tech for good
database,,,data,Data,Tech for good
detection,,1,,,Tech for good
device,,,,,Tech for good
diagnostic,,,,Data,Tech for good
digital,"media, art, film",,,,Tech for good
digital engagement,,,,digital inclusion,Tech for good
digital health,,,digihealth,,Tech for good
digital literacy,,,,digital inclusion,Tech for good
directorate,,1,,,Tech for good
directory,,,,,Tech for good
disrupting,,,,,Tech for good
download,,,,,Tech for good
drones,,,,,Tech for good
DSI,,,digital social innovation,,Tech for good
dynamic,,,,,Tech for good
education technology,,,edtech,,Tech for good
electronic,,,,,Tech for good
emergency response,,,,,Tech for good
engineering,,1,,,Tech for good
evaluation,,1,,Data,Tech for good
financial inclusion,,,,,Tech for good
functionality,,1,,,Tech for good
gamification,,,game,,Tech for good
gateway,,1,,,Tech for good
geolocation,,,,,Tech for good
hack,,,hackathon,,Tech for good
hardware,,,,,Tech for good
ICT4D,,,ICT for development,,Tech for good
install,,,,,Tech for good
internet,,,,Platform/app,Tech for good
internet of things,,,,,Tech for good
interoperable,,,,Data,Tech for good
mapping,,,maps,,Tech for good
marketplace,,,,,Tech for good
match making,,1,,,Tech for good
measure,,,,,Tech for good
meetup,,,meetups,events,Tech for good
messaging,,,,,Tech for good
microchips,,,,,Tech for good
mobile,,1,smartphone,,Tech for good
monitor,,1,monitoring,,Tech for good
natural language,,,,,Tech for good
network,,1,,Data,Tech for good
nlp,,,natural language processing,,Tech for good
nudge,,1,,,Tech for good
nudging,,1,,,Tech for good
online,,1,,,Tech for good
open data,,,data,Data,Tech for good
open mapping,,,,,Tech for good
open source,,,,,Tech for good
optimisation,,,,,Tech for good
physical technology,,,,,Tech for good
platform,,,,Platform/app,Tech for good
prediction,,,,Data,Tech for good
predictive,,,,Data,Tech for good
programming,,1,,,Tech for good
reactive,,,,,Tech for good
research,,1,,,Tech for good
revolutionising,,,,,Tech for good
satellite,,,,,Tech for good
science,,1,,,Tech for good
security,,1,,,Tech for good
sensors,,,,,Tech for good
smartphone,,,,,Tech for good
social media,,,,,Tech for good
social software,,,,,Tech for good
social tech,,,,,Tech for good
storytelling,,1,,Comms,Tech for good
stream,,1,,,Tech for good
supply chain,,1,,,Tech for good
sustainability,,1,,,Tech for good
systems,,1,,,Tech for good
tablet,,,,digital inclusion,Tech for good
tech4good,,,tech for good,,Tech for good
tech for good,,,tech for good,,Tech for good
techforgood,,,tech for good,,Tech for good
technology,"science, engineering, STEM, academic",,,,Tech for good
text message,,,SMS,,Tech for good
twitter,,,,Comms,Tech for good
virtual reality,,,,,Tech for good
vr,,,virtual reality,,Tech for good
warning system,,,,,Tech for good
webinars,,,,Comms,Tech for good
website,,1,,Comms,Tech for good
Whats App,,,sms,,Tech for good
wireless,,,,,Tech for good
women in tech,,,,,Tech for good
youtube,,,,Comms,Tech for good
social enterprise,,,,organisation structure,Tech for good
charity,,1,,organisation structure,Tech for good
CIC,,,community interest company,organisation structure,Tech for good
Bcorp,,,benefit corporation,organisation structure,Tech for good
startup,,,,organisation structure,Tech for good
venture,,,,organisation structure,Tech for good
grantmaker,,,,organisation structure,Tech for good
